PR,PR_C,D_exp,r2_raw,val_loss_min,folder
8.839173282511178,8.84744447180718,27,0.9613,0.3215,12_dfm_e1
5.869875353370079,5.873521766977425,15,0.9613,0.4318,12_sc_e1
8.820073375376277,8.828309713376337,25,0.8902,1.3246,12_stack_e1
6.853169053601624,6.858139967677955,21,0.9354,3.6114,12_upfm_e1
5.602538087736871,5.6058594753452775,13,0.6866,9.1792,12_warble_e1
5.847042595988109,5.850660688241823,12,0.9654,0.3962,12_white_e1
6.388712245413509,6.393031996000305,17,0.9639,0.2645,13_dfm_e1
5.388994204510384,5.3920674800683335,11,0.9648,0.3614,13_sc_e1
7.265159448077423,7.270746832787267,23,0.9174,1.5336,13_stack_e1
9.246777010966973,9.255829003229753,26,0.9393,3.1083,13_upfm_e1
7.312682980044677,7.318342531532884,18,0.6191,10.3745,13_warble_e1
5.355356570815655,5.35839158907113,11,0.9662,0.3266,13_white_e1
8.268946724553892,8.27618472884849,22,0.9633,0.3289,14_dfm_e1
5.645922244279549,5.64929564289772,13,0.9643,0.4056,14_sc_e1
5.269049493785925,5.271987759539642,19,0.9137,1.8133,14_stack_e1
8.30549903838461,8.312801202572262,22,0.9313,2.9569,14_upfm_e1
6.234730809053206,6.238844336442938,16,0.6658,9.715,14_warble_e1
6.022080018897162,6.025918047524285,12,0.9699,0.3433,14_white_e1
9.097459744949175,9.106221615343056,21,0.9637,0.283,23_dfm_e1
5.476082673638795,5.479256111973986,13,0.9655,0.3584,23_sc_e1
7.066509255708734,7.071795156483824,21,0.9125,1.8239,23_stack_e1
8.49046668719823,8.498097868251115,18,0.9377,2.6039,23_upfm_e1
6.2221116153525955,6.226208502434091,13,0.6993,9.7661,23_warble_e1
5.929285773489099,5.9330063964844175,12,0.9699,0.3223,23_white_e1
7.321614531381718,7.327288522087052,20,0.961,0.2714,24_dfm_e1
5.385845954526751,5.388915639296201,11,0.9653,0.3438,24_sc_e1
7.550070401186811,7.556104791194465,22,0.9204,2.088,24_stack_e1
8.437396361367476,8.444932399643593,21,0.9413,1.8124,24_upfm_e1
5.205689173001399,5.2085565721717355,11,0.734,9.7849,24_warble_e1
5.671485177489041,5.67488920181395,11,0.9678,0.3112,24_white_e1
14.809929850243183,14.8331639186824,36,0.9597,0.3668,34_dfm_e1
7.220009276788721,7.225526819958451,14,0.963,0.3979,34_sc_e1
6.65978029547983,6.664475021461178,20,0.9073,1.3023,34_stack_e1
7.651622942163567,7.657820166115977,21,0.9419,3.6302,34_upfm_e1
5.441365554663686,5.444498539733114,15,0.6858,7.6413,34_warble_e1
5.418554834460149,5.421661928320802,11,0.9709,0.4125,34_white_e1
